ID,Nombre,Edad,Grado,Fecha de Ingreso,Calificación Matemáticas,Calificación Ciencias,Calificación Historia,Asistencia (%),Email
357,,,8.0,,-5.0,,-5.0,67.0,
358,,11.0,6.0,,,,-5.0,66.0,
359,Joshua Gutierrez,16.0,5.0,2019-13-25,-5.0,88.0,-5.0,,amanda68@henry.com
360,,,,,,67.0,-5.0,55.0,
361,Jason Cunningham,,7.0,2003/10/22,61.0,-5.0,91.0,,
362,April Palmer,10.0,,1981/07/09,-5.0,-5.0,,,
363,Jamie Dunn,,7.0,1999/11/15,95.0,-5.0,,71.0,
364,,-1.0,8.0,,85.0,,-5.0,88.0,rcollins@braun-schwartz.org
365,,10.0,8.0,2002-05-09,93.0,,-5.0,81.0,
366,Kyle Carter,13.0,7.0,2019-13-25,-5.0,-5.0,-5.0,,hunterjessica@yahoo.com
367,James Arnold,9.0,8.0,2019-13-25,,95.0,-5.0,,
368,Jennifer Smith,,5.0,2019-13-25,57.0,,83.0,94.0,
369,Megan Rojas,10.0,8.0,,,74.0,89.0,,
370,,-1.0,8.0,2020/02/11,,52.0,-5.0,86.0,michael61@gmail.com
371,,-1.0,8.0,2011/01/11,,-5.0,64.0,,
372,Barbara Adams,-1.0,,1994-05-26,84.0,79.0,,64.0,
373,,-1.0,8.0,,97.0,87.0,-5.0,56.0,
374,Kimberly Carpenter,-1.0,7.0,2019-13-25,,,-5.0,,
375,,,7.0,1997-02-19,77.0,,-5.0,62.0,
376,Rachel King,6.0,,,91.0,84.0,69.0,68.0,ashleymcgrath@williams.org
377,,-1.0,,,-5.0,-5.0,97.0,77.0,
378,Henry Porter,7.0,5.0,2018-07-27,-5.0,61.0,78.0,97.0,
379,Lindsey Cole,6.0,7.0,,55.0,-5.0,,,skinnerjoseph@rush-newton.com
380,Brenda Bridges,-1.0,7.0,2019-13-25,,67.0,,,
381,David Solis,12.0,7.0,2007/06/14,,,,65.0,
382,,-1.0,7.0,1991/06/05,75.0,51.0,,,susanlong@yahoo.com
383,Jeremy Ross,-1.0,7.0,1996/10/01,73.0,-5.0,56.0,83.0,wgray@yahoo.com
384,Andres Watson,,8.0,2004-10-17,-5.0,87.0,,,copelandangela@munoz.com
385,Rachel Martin,5.0,6.0,2000/11/18,96.0,,65.0,77.0,fhill@hotmail.com
386,Jennifer Johnson,6.0,8.0,2002-07-24,,52.0,83.0,93.0,
387,,10.0,5.0,2017-03-03,,-5.0,,,howardjoshua@gmail.com
388,Jason Arias,,5.0,1987-10-23,,87.0,,87.0,agreen@hines.com
389,,8.0,6.0,,89.0,,-5.0,68.0,pattersongarrett@martin.com
390,,,8.0,1996-03-12,89.0,51.0,,,
391,,-1.0,,,,55.0,,87.0,michael86@hotmail.com
392,,13.0,8.0,,-5.0,-5.0,-5.0,77.0,
393,Alyssa Delacruz,-1.0,8.0,2019-12-16,-5.0,,,,
394,,,8.0,1993/11/19,,65.0,-5.0,,collinscatherine@hawkins-thomas.biz
395,,-1.0,8.0,2019-13-25,87.0,-5.0,,81.0,bellderek@morales.net
396,,14.0,8.0,2016/09/16,81.0,,-5.0,63.0,
397,,-1.0,7.0,1987-11-04,,84.0,55.0,52.0,tuckerjulia@scott-king.net
398,,,5.0,2019-13-25,,-5.0,-5.0,,qcarter@hotmail.com
399,,-1.0,8.0,,59.0,,63.0,,
400,Matthew Peters,,5.0,1994-04-17,-5.0,-5.0,,68.0,benjamin41@gmail.com
401,Steven Brown,16.0,8.0,1990/04/24,,94.0,,,
402,,,8.0,2019-13-25,96.0,-5.0,-5.0,67.0,jasonbrown@gates-anderson.com
403,,-1.0,7.0,2019-13-25,,71.0,-5.0,97.0,
404,Michele Chambers,-1.0,7.0,2001/10/24,-5.0,,-5.0,,jodihancock@yahoo.com
405,,18.0,8.0,2021/01/21,-5.0,,-5.0,,dillonlawrence@hotmail.com
406,,-1.0,6.0,1996/09/11,-5.0,-5.0,87.0,,erichardin@smith.biz
407,Travis Cole,-1.0,5.0,2019-13-25,-5.0,,99.0,,
408,,,,2004-01-09,-5.0,68.0,,86.0,huntergregory@hotmail.com
409,Kirsten Green,,6.0,1980-12-13,62.0,74.0,,80.0,
410,,15.0,8.0,1975-03-08,95.0,,-5.0,,
411,,,,2023/08/23,-5.0,86.0,-5.0,100.0,
412,,17.0,5.0,,55.0,63.0,,,cisnerosbarry@yahoo.com
413,,14.0,8.0,2010-05-06,,76.0,-5.0,,
414,,18.0,6.0,,58.0,,,,hernandezjoseph@gmail.com
415,,18.0,6.0,2019-13-25,56.0,62.0,-5.0,99.0,townsendjennifer@stewart-terry.biz
416,Cynthia Hood,,7.0,,,,,67.0,amber64@scott.net
417,,6.0,5.0,2019-13-25,77.0,,-5.0,,
418,,,5.0,2019-13-25,,89.0,-5.0,92.0,zsullivan@hotmail.com
419,Lisa Smith,-1.0,5.0,1997/12/19,,100.0,-5.0,,
420,,10.0,8.0,2019-13-25,92.0,-5.0,-5.0,,
421,James Blake,-1.0,7.0,2019-13-25,,59.0,-5.0,97.0,
422,Michelle Myers,9.0,7.0,2019-13-25,93.0,-5.0,66.0,,david65@yahoo.com
423,,,7.0,2019-13-25,61.0,-5.0,98.0,,melissahensley@johnston.com
424,,-1.0,5.0,1987/07/27,99.0,94.0,,,
425,,,5.0,2019-13-25,,,70.0,54.0,
426,Charles Flores,,,2014/04/15,,-5.0,66.0,51.0,
427,Christopher Dixon,,5.0,2008/04/23,-5.0,94.0,-5.0,93.0,
428,,8.0,6.0,1992-03-25,-5.0,-5.0,-5.0,,daniel04@kennedy.info
429,,-1.0,,2016/11/30,97.0,58.0,84.0,51.0,haleycooper@yahoo.com
430,,9.0,,1996-12-01,62.0,71.0,89.0,,ecrawford@gmail.com
431,,,8.0,,-5.0,-5.0,,,
432,,-1.0,,,85.0,60.0,73.0,,
433,,5.0,7.0,1972/05/02,,,-5.0,,
434,,,7.0,1997-03-11,-5.0,-5.0,,53.0,
435,,8.0,6.0,1981/12/27,92.0,,,55.0,huertarobin@gmail.com
436,Monica Lewis,,,2002-06-25,-5.0,-5.0,,61.0,
437,,,,2019-13-25,90.0,86.0,-5.0,70.0,
438,Michael Case,-1.0,6.0,1988-02-06,,,,87.0,
439,,-1.0,7.0,2019-13-25,,,,66.0,jeffery42@lewis.com
440,,,6.0,,,92.0,52.0,70.0,
441,Angela Singh,,,2004-05-08,85.0,,51.0,55.0,
442,Peggy Kerr,-1.0,,2018/11/17,,,,,
443,Melissa Castillo,,5.0,1975/04/18,,,59.0,,csimmons@yahoo.com
444,Madison Graham,-1.0,5.0,2002-05-12,85.0,-5.0,91.0,58.0,
445,Shirley Leonard,-1.0,,,80.0,,68.0,74.0,margaretmiller@rice-spencer.info
446,,,7.0,1982/04/14,-5.0,-5.0,88.0,89.0,rosecrystal@yahoo.com
447,Michelle Simmons,,7.0,2019-13-25,-5.0,-5.0,80.0,52.0,bgardner@hotmail.com
448,,-1.0,7.0,2020/07/08,-5.0,,,73.0,
449,Rebecca Olson,,5.0,2018/05/04,,,-5.0,75.0,
450,,-1.0,6.0,,,81.0,,,ygilbert@jones.info
451,,,7.0,2017-09-18,77.0,,-5.0,64.0,jennifertaylor@barnes.com
452,,17.0,5.0,2010-01-02,-5.0,-5.0,-5.0,,
453,Erika Wells,-1.0,5.0,1980-02-02,,58.0,,62.0,
454,,,7.0,2019-13-25,98.0,,,,kellykyle@grant-jordan.net
455,,11.0,5.0,2019-13-25,72.0,,-5.0,98.0,david97@yahoo.com
456,,11.0,8.0,2019/02/28,-5.0,-5.0,90.0,98.0,opatterson@bautista.com
457,Steven Collier,11.0,7.0,1984-06-17,,85.0,52.0,70.0,
458,Ariel Coleman,,8.0,1977-09-18,-5.0,66.0,,,adamthompson@rivas.biz
459,,9.0,6.0,2019-13-25,-5.0,-5.0,-5.0,86.0,amy72@alexander-navarro.info
460,,,6.0,2019-13-25,98.0,97.0,56.0,88.0,
461,Holly Williams,,,2019-13-25,-5.0,63.0,62.0,,robertsblake@martinez-stephenson.com
462,,,,,70.0,63.0,91.0,53.0,terryrenee@gmail.com
463,,-1.0,,2023-10-02,-5.0,-5.0,,91.0,waguilar@gmail.com
464,,-1.0,6.0,,,,,,tiffanyhughes@brooks.com
465,Robert Smith,17.0,,2006/03/30,61.0,-5.0,60.0,,juan94@petty-moore.com
466,Brittany Sherman,,5.0,2019-13-25,-5.0,,-5.0,60.0,
467,Shelly Kelley,-1.0,7.0,2019-13-25,-5.0,-5.0,,98.0,
468,,-1.0,7.0,2019-13-25,-5.0,-5.0,,,
469,Maria Marquez,-1.0,5.0,1975/04/12,,74.0,73.0,79.0,
470,Joel Pena,-1.0,6.0,,91.0,79.0,,74.0,
471,,-1.0,5.0,1991/01/20,74.0,,,61.0,megan15@wood-adams.com
472,,-1.0,8.0,,77.0,64.0,84.0,84.0,
473,Victor Jones,10.0,7.0,1993/11/19,-5.0,53.0,,,sanderssarah@patel-hurley.com
474,Michelle Hall,8.0,6.0,,,57.0,-5.0,58.0,stephen36@rivas-cook.com
475,Tracy Dean,,6.0,2019-13-25,,,79.0,,
476,,7.0,8.0,2019-13-25,,-5.0,-5.0,,ricemeredith@rangel.com
477,Daniel George,15.0,6.0,1986-08-24,-5.0,89.0,-5.0,,
478,David Lewis,-1.0,7.0,2019-13-25,,,88.0,,
479,,,,1974/02/13,90.0,-5.0,,,
480,Lawrence Gonzalez,,5.0,2004-12-16,-5.0,-5.0,74.0,90.0,
481,Howard Shelton,17.0,6.0,2018-03-22,-5.0,,-5.0,,brandon33@gmail.com
482,,,7.0,2019-13-25,69.0,61.0,-5.0,,imcconnell@price-avery.biz
483,,-1.0,8.0,,-5.0,,,,qwallace@hotmail.com
484,Gregg Brooks,5.0,7.0,2001/11/06,68.0,-5.0,-5.0,,gsmith@hotmail.com
485,,13.0,6.0,1983/12/18,-5.0,,,86.0,
486,Raymond Romero,,8.0,,-5.0,,,,
487,Morgan Baldwin,-1.0,8.0,2019-13-25,85.0,,,,
488,James Young,9.0,7.0,1988/12/04,-5.0,,-5.0,,
489,,18.0,6.0,,67.0,,,87.0,
490,Andrew Cooper,-1.0,7.0,1975-11-16,-5.0,-5.0,-5.0,,
491,,,,2022/10/30,,,-5.0,84.0,laurenhayes@gmail.com
492,Stacey Rodriguez,-1.0,6.0,2005-11-05,-5.0,,-5.0,99.0,
493,,-1.0,8.0,,,-5.0,,,
494,,,6.0,2016-09-06,-5.0,-5.0,93.0,81.0,bullockmichael@gmail.com
495,Kelly Brown,,5.0,1997-12-05,,,,54.0,
496,Kayla Miller,,6.0,,54.0,,,,ochapman@murray.com
497,Jordan Dominguez,-1.0,7.0,,,,-5.0,61.0,webstergordon@gmail.com
498,Jane Mejia,,,1989/06/15,,,-5.0,,
499,Steven Neal,6.0,6.0,2019-13-25,89.0,-5.0,-5.0,,
500,Alfred Robertson,14.0,7.0,1993-04-18,,63.0,,66.0,zsalazar@hotmail.com
501,Rachel Campbell,,8.0,2009/08/01,71.0,53.0,,,
502,David Singh,,8.0,,,-5.0,59.0,,klewis@hotmail.com
503,Jeff Boyer,5.0,5.0,1980/12/26,,95.0,-5.0,78.0,vincentmichael@lucas.com
504,,5.0,6.0,2019-13-25,66.0,-5.0,-5.0,99.0,donna06@yahoo.com
505,Samuel Brown,,5.0,,81.0,,70.0,,
506,Joseph Sullivan,10.0,7.0,2019-13-25,,,50.0,100.0,randybrewer@yahoo.com
507,Brandy Hanson,,8.0,2000/10/08,-5.0,,-5.0,99.0,
508,,16.0,7.0,2002/03/15,,-5.0,,65.0,
509,,10.0,5.0,,,79.0,,57.0,
510,,8.0,,2019-13-25,,93.0,100.0,54.0,
511,,-1.0,6.0,2019-13-25,50.0,-5.0,-5.0,97.0,
512,Miss Melanie Mclaughlin,-1.0,8.0,2019-13-25,-5.0,73.0,-5.0,,
513,Tommy Wilson,16.0,,2000/12/03,-5.0,,,,krystal55@jones.com
514,,,8.0,1996-05-13,,-5.0,-5.0,96.0,
515,,-1.0,8.0,2009/01/17,-5.0,-5.0,57.0,60.0,angelamaldonado@hotmail.com
516,,-1.0,8.0,2014-05-14,,,-5.0,75.0,
517,Kristin Rodriguez,-1.0,7.0,2021-01-06,,,74.0,,
518,James Dixon,8.0,,2011-09-01,79.0,61.0,-5.0,57.0,timothyaustin@gmail.com
519,,15.0,6.0,,-5.0,-5.0,-5.0,,
520,Maria Gonzales,17.0,8.0,2015-06-30,-5.0,-5.0,-5.0,,
521,,-1.0,7.0,2005/09/07,,82.0,,83.0,
522,Leslie Smith,-1.0,5.0,,-5.0,-5.0,-5.0,,rwalsh@browning.com
523,,13.0,,2017-05-09,,98.0,67.0,,
524,Denise Anderson,-1.0,5.0,2019-13-25,69.0,-5.0,-5.0,,christopherrangel@stevens.com
525,Larry Stanley,18.0,6.0,2023-07-25,,-5.0,-5.0,83.0,yoneill@wood.com
526,Kevin Archer III,-1.0,,1971/06/15,65.0,-5.0,68.0,89.0,jcastro@woods.com
527,,-1.0,5.0,1984/08/16,,-5.0,,91.0,ronaldbuchanan@wilson.info
528,Brandon Winters,,5.0,2003/07/18,-5.0,,-5.0,62.0,
529,Isaiah Harrison,-1.0,8.0,2019-13-25,,,,58.0,valenciathomas@baker.com
530,,,7.0,2011/07/29,81.0,,,,downsbrittany@hotmail.com
531,Timothy Smith,,,1976/11/02,-5.0,72.0,93.0,,andersonjoshua@gonzalez.biz
532,Yvonne Reeves,,8.0,2019-13-25,,-5.0,-5.0,,taylor37@yahoo.com
533,Aaron Casey,-1.0,8.0,,55.0,62.0,-5.0,,sherrimartinez@hotmail.com
534,Karen Santiago,-1.0,5.0,1985-05-10,,,56.0,,shepherdheather@gmail.com
535,,-1.0,7.0,1992-01-12,-5.0,,100.0,,
536,,-1.0,5.0,2003-07-12,-5.0,97.0,-5.0,,
537,,-1.0,,1999/11/17,,87.0,,,
538,,,6.0,1984/03/24,-5.0,-5.0,-5.0,,
539,,,5.0,1986/09/21,88.0,81.0,,76.0,
540,,-1.0,6.0,1993-02-04,-5.0,82.0,,55.0,reginabarnes@gmail.com
541,,,5.0,,-5.0,-5.0,88.0,,
542,,16.0,7.0,1990/04/28,,,,,
543,Tanya Berg,,6.0,2001/12/22,-5.0,-5.0,-5.0,55.0,leeerica@hotmail.com
544,Melissa Daniels,11.0,5.0,1994-12-28,-5.0,,,90.0,
545,,-1.0,6.0,2008-03-20,-5.0,,-5.0,,
546,,-1.0,5.0,2019-13-25,,-5.0,,,steven20@gmail.com
547,,-1.0,5.0,1986/08/13,76.0,97.0,,79.0,fhickman@yahoo.com
548,,,5.0,2013/01/06,50.0,,-5.0,,
549,,,,1978/12/12,-5.0,-5.0,-5.0,59.0,
550,Beth Rodriguez,,,1998-06-04,,-5.0,-5.0,,
551,Thomas Baker,5.0,,2019-13-25,-5.0,-5.0,-5.0,,rbarton@weaver.biz
552,Jason Maxwell,-1.0,7.0,2002-01-21,93.0,,,68.0,
553,,-1.0,8.0,2014-06-26,82.0,83.0,,,fchandler@conner.com
554,Alan Woods,,7.0,1979/09/07,,-5.0,-5.0,,
555,,-1.0,5.0,1978-02-01,53.0,71.0,-5.0,90.0,robert83@hotmail.com
556,Robert Stevens,-1.0,8.0,,,65.0,85.0,68.0,navarrodiana@ewing.com
557,,,5.0,,,75.0,,100.0,
558,,,8.0,2015/10/23,57.0,-5.0,-5.0,,
559,Gordon Reid,16.0,5.0,2019-13-25,62.0,,-5.0,69.0,bcarpenter@costa-collins.com
560,,15.0,8.0,1993/06/23,-5.0,75.0,74.0,66.0,
561,,7.0,8.0,1984-12-23,,53.0,-5.0,,
562,Don Jones DDS,,7.0,1974-12-30,73.0,92.0,,56.0,kzamora@griffin.biz
563,Susan Jenkins,-1.0,7.0,2019-13-25,-5.0,,-5.0,,pmcmillan@hotmail.com
564,Reginald Morgan,,5.0,2019-13-25,,,-5.0,,
565,Zachary Hall,-1.0,5.0,,-5.0,54.0,,88.0,
566,Nicole Roberts,-1.0,5.0,2019-13-25,82.0,84.0,99.0,53.0,
567,Leon Edwards,9.0,5.0,2019-13-25,89.0,73.0,-5.0,51.0,
568,Lisa Mitchell,,,,,-5.0,65.0,87.0,wanda31@freeman.com
569,Ricardo Harrington,-1.0,6.0,2000/11/03,,52.0,-5.0,,
570,,,6.0,2019-13-25,,96.0,,,
571,Alyssa Compton,14.0,6.0,1974-05-08,92.0,-5.0,-5.0,86.0,
572,Stephanie Patel,,5.0,,87.0,67.0,66.0,72.0,ambermorris@ramos-rivera.com
573,,,5.0,1978-07-16,50.0,51.0,,79.0,victor14@miller-brewer.info
574,,11.0,,2019-13-25,74.0,-5.0,-5.0,98.0,
575,,-1.0,7.0,1990-03-31,-5.0,-5.0,-5.0,,
576,,,7.0,,,,-5.0,98.0,mooresusan@gmail.com
577,,5.0,6.0,2019-13-25,,77.0,,,
578,Abigail Johnson,17.0,6.0,1977-04-23,-5.0,-5.0,,77.0,laurenhuff@gmail.com
579,Courtney Flores,5.0,,2002-09-24,92.0,62.0,-5.0,73.0,hyang@yahoo.com
580,,-1.0,,1996-08-28,-5.0,-5.0,-5.0,,jasminbullock@hotmail.com
581,,,7.0,2007-01-16,,80.0,,81.0,amandacaldwell@hotmail.com
582,Shelby Blake,-1.0,7.0,1978-12-11,55.0,-5.0,96.0,68.0,
583,,,8.0,2019-13-25,84.0,,-5.0,59.0,
584,Emily Richardson,-1.0,6.0,2019-02-27,69.0,,57.0,,
585,,-1.0,7.0,2019-13-25,,-5.0,-5.0,,
586,,,5.0,2019-13-25,,90.0,-5.0,79.0,
587,,-1.0,,2001/07/16,74.0,-5.0,-5.0,,taylordanielle@whitaker.com
588,,6.0,8.0,2005/04/01,-5.0,-5.0,-5.0,,
589,John Lang,17.0,5.0,2013/06/02,,69.0,,65.0,
590,Kim Carter,-1.0,7.0,2021/12/12,,-5.0,85.0,65.0,villarreallisa@carter-arnold.com
591,Ryan Wagner,,,2019-13-25,,75.0,-5.0,51.0,
592,,17.0,8.0,,-5.0,57.0,92.0,,nathangamble@yahoo.com
593,,12.0,8.0,2019-13-25,92.0,,,,grose@stevens-thornton.com
594,Laura Powers,6.0,5.0,,93.0,-5.0,,99.0,bauerdavid@hotmail.com
595,John Boyd,,8.0,,,97.0,,,
596,Taylor Gross,-1.0,6.0,2002-10-06,-5.0,,,,lisaharrison@yahoo.com
597,,,6.0,2004/04/16,55.0,60.0,78.0,,amandamurphy@yahoo.com
598,,,5.0,,85.0,-5.0,,,vstone@hernandez-riley.com
599,,9.0,7.0,1974-09-28,79.0,-5.0,,56.0,lorihorne@george.com
600,Tyler Allen,,6.0,2007-05-23,88.0,-5.0,-5.0,61.0,
601,Megan Mullins,-1.0,6.0,2016-10-15,63.0,,58.0,,
602,,,6.0,2019-13-25,,-5.0,-5.0,,
603,Dr. Robert Warren,15.0,6.0,,,60.0,-5.0,,
604,,13.0,5.0,,,,57.0,95.0,karafarley@lopez.com
605,,6.0,,1996/12/11,-5.0,-5.0,-5.0,53.0,
606,Antonio Jackson,,6.0,1982/05/24,-5.0,72.0,-5.0,68.0,middletonandrew@robinson-meza.biz
607,Traci Lopez,-1.0,8.0,1979-05-13,,-5.0,-5.0,,hudsonmary@bell.info
608,,16.0,7.0,,-5.0,80.0,-5.0,,garrettjessica@yahoo.com
609,,18.0,,2019-13-25,67.0,74.0,67.0,,smoore@wong.com
610,Michael Mitchell,,6.0,,,,79.0,55.0,bakerjennifer@davis.com
611,,,,,70.0,-5.0,-5.0,58.0,
612,Michael Hensley,16.0,,1992-01-20,,81.0,75.0,75.0,
613,,-1.0,8.0,2019-13-25,58.0,67.0,-5.0,72.0,
614,Sheila Robles,10.0,5.0,2017/07/02,-5.0,89.0,,89.0,
615,,,7.0,2019/05/10,,71.0,,89.0,
616,Kyle Bradley,,5.0,,,-5.0,,,
617,Elizabeth Wolf,16.0,,2017/06/30,85.0,69.0,,,
618,Christina Greene,-1.0,6.0,,,73.0,-5.0,76.0,rangeljose@oconnor-whitaker.biz
619,Teresa Perez,-1.0,5.0,1999/11/22,-5.0,-5.0,,,xadams@smith.com
620,,-1.0,7.0,1972/02/06,79.0,76.0,,88.0,jason92@roy.info
621,,-1.0,,2016/04/10,,-5.0,,87.0,
622,Joshua Hampton,9.0,6.0,2019-13-25,,64.0,,98.0,
623,,12.0,,1998-01-06,-5.0,,-5.0,,
624,Sean Lucas,7.0,6.0,2020-10-02,72.0,,78.0,,
625,Jennifer Goodman,,5.0,1994/04/16,-5.0,-5.0,,,
626,Jessica Smith,7.0,,,,-5.0,,,cnelson@hotmail.com
627,,,5.0,2019-13-25,69.0,61.0,,,vromero@hotmail.com
628,Heather Stout,,,,,-5.0,97.0,77.0,
629,,,6.0,1976/01/19,,-5.0,78.0,99.0,
630,,-1.0,5.0,2018/07/15,-5.0,-5.0,,54.0,james21@powell.biz
631,,16.0,7.0,2019-13-25,76.0,-5.0,58.0,,rosstracey@davis.com
632,,-1.0,7.0,,,-5.0,92.0,100.0,uwade@flores-thomas.com
633,William Holmes,-1.0,6.0,2005-12-04,,-5.0,,,jeremywilson@yahoo.com
634,Richard Kennedy,-1.0,8.0,1989-03-11,-5.0,,,,
635,,10.0,7.0,,-5.0,,-5.0,74.0,
636,,-1.0,5.0,2003/06/27,-5.0,53.0,,,
637,,-1.0,7.0,2017-09-24,,-5.0,,,todd51@bishop.com
638,,6.0,,2022/01/24,55.0,-5.0,-5.0,62.0,chad77@gmail.com
639,,,7.0,,100.0,-5.0,69.0,61.0,
640,,8.0,6.0,,80.0,83.0,-5.0,,yolanda12@gmail.com
641,,,8.0,1998/08/11,-5.0,,52.0,80.0,
642,,12.0,5.0,2019-13-25,74.0,-5.0,-5.0,57.0,
643,,11.0,5.0,2006/05/13,-5.0,96.0,-5.0,80.0,
644,Matthew Pope,,5.0,,-5.0,90.0,95.0,90.0,randall02@williams.org
645,Kelly Cohen,14.0,5.0,,,88.0,,84.0,megan97@hotmail.com
646,,-1.0,8.0,,,73.0,-5.0,58.0,ihutchinson@howard-moreno.com
647,Ann Hanson,-1.0,5.0,1991/11/14,99.0,-5.0,-5.0,,richardssandra@gmail.com
648,,14.0,7.0,1995-07-21,-5.0,,80.0,100.0,
649,Adam Atkins,11.0,6.0,2019-13-25,,-5.0,77.0,60.0,jamie54@johnson.com
650,William Green,,,1981-03-12,-5.0,,,71.0,mirandavazquez@farley.info
651,,,8.0,,,,-5.0,,nicholevargas@duran.biz
652,Lisa Blackwell,12.0,,,,-5.0,77.0,62.0,
653,Matthew Ramos,9.0,8.0,,58.0,,,52.0,
654,Lance Small,11.0,5.0,2019-13-25,62.0,-5.0,92.0,,
655,Dr. Michael Ellis,,7.0,,69.0,,,,
656,,14.0,8.0,2016-10-31,,-5.0,85.0,,
657,Raymond Villanueva,,,,81.0,-5.0,-5.0,63.0,pknight@logan.com
658,,,,,,70.0,,,
659,Robert Morales,18.0,5.0,,-5.0,94.0,-5.0,99.0,
660,,,7.0,,68.0,,,,
661,Kristen Crosby,,7.0,2004/05/27,-5.0,73.0,68.0,,
662,Whitney Sharp,7.0,6.0,,,-5.0,,,ryan89@yahoo.com
663,,,6.0,2019-13-25,,-5.0,,51.0,
664,Brian Swanson,16.0,5.0,1986/03/09,90.0,,,69.0,
665,Christine Graham,18.0,5.0,2019-13-25,,-5.0,,74.0,
666,,,8.0,,100.0,,-5.0,67.0,
667,William Adams,-1.0,5.0,2019-13-25,,,75.0,68.0,
668,,6.0,6.0,,54.0,74.0,78.0,,michele90@hotmail.com
669,Pam Jackson,8.0,,1970/06/15,-5.0,,-5.0,,
670,,,8.0,,-5.0,67.0,,98.0,mcummings@hotmail.com
671,Cameron Gaines,,6.0,1976-07-22,,-5.0,,,
672,Nicholas Miller,-1.0,7.0,2018/07/30,57.0,-5.0,,71.0,
673,,-1.0,8.0,2013/12/22,-5.0,,,70.0,
674,Mark Collins,-1.0,8.0,,-5.0,67.0,-5.0,96.0,
675,,-1.0,,2019-13-25,-5.0,,-5.0,,qbriggs@smith.com
676,,12.0,6.0,2019-13-25,-5.0,-5.0,70.0,57.0,
677,Adam Hubbard,,,2017-09-21,66.0,,72.0,,sarathompson@cole.com
678,Thomas Carr,,6.0,2014/01/09,-5.0,-5.0,89.0,100.0,
679,Katie White,,7.0,1978-09-22,-5.0,,,,
680,,-1.0,5.0,,-5.0,89.0,-5.0,,amandajacobs@holloway.com
681,Andrew White MD,-1.0,7.0,,,-5.0,-5.0,92.0,
682,Anthony Novak,,5.0,,68.0,,,,
683,,5.0,5.0,,,,,61.0,
684,Stacy Mclaughlin,-1.0,5.0,2013-04-12,90.0,-5.0,,,bskinner@herring.com
685,,,6.0,2019-13-25,,-5.0,91.0,,nicholas32@gmail.com
686,,,8.0,1983/10/05,-5.0,,-5.0,90.0,matthew33@baker.info
687,Melissa Munoz,,8.0,2015/08/20,57.0,,60.0,70.0,josephfisher@stone.net
688,,-1.0,7.0,2023/08/27,-5.0,,-5.0,,
689,Daniel Brown,,6.0,2019-13-25,-5.0,,,74.0,jonescaroline@alvarado.org
690,Brandy Goodwin,,5.0,,-5.0,82.0,-5.0,71.0,glasslindsay@gmail.com
691,,-1.0,6.0,2014/01/06,-5.0,-5.0,-5.0,55.0,adkinsanna@herman.com
692,,,7.0,1980-08-31,52.0,-5.0,-5.0,,
693,Linda Stewart,,7.0,2019-13-25,-5.0,,85.0,62.0,okelly@gmail.com
694,Carrie Taylor,14.0,,2014/09/30,,-5.0,-5.0,90.0,
695,,,7.0,1980/04/19,54.0,77.0,,,
696,,13.0,6.0,1972-06-13,-5.0,,,,
697,Jeffrey Rasmussen,18.0,6.0,,-5.0,,82.0,,gina52@yahoo.com
698,Jessica Oliver,15.0,,2007/11/29,-5.0,-5.0,,97.0,john51@soto-castro.net
699,Maria Meyer,-1.0,8.0,1982/04/30,-5.0,-5.0,67.0,,fmathis@jackson.com
700,Ashley Stafford,-1.0,5.0,,-5.0,,-5.0,93.0,parksjames@phillips-porter.net
701,,,8.0,2019-13-25,,,-5.0,59.0,
702,Marc Briggs,6.0,6.0,1996-05-23,-5.0,,-5.0,50.0,jonathonclark@hotmail.com
703,,18.0,7.0,1997-02-13,-5.0,54.0,71.0,97.0,brandon30@hotmail.com
704,,13.0,7.0,2011-05-10,61.0,,,,
705,,5.0,7.0,2007-01-30,,-5.0,,,latashabrown@hotmail.com
706,,,5.0,2019/09/09,,-5.0,77.0,,ibanks@robinson-harris.com
707,Amanda Lewis,13.0,6.0,2000/10/23,,,94.0,82.0,timothy75@yahoo.com
708,,-1.0,7.0,2019-13-25,70.0,,,,
709,Tiffany Miller,12.0,6.0,,-5.0,-5.0,50.0,66.0,
710,,,7.0,2019-13-25,-5.0,72.0,-5.0,97.0,hmarshall@hotmail.com
711,Matthew Scott,,,2019-13-25,,-5.0,-5.0,78.0,tfrench@mathis-spencer.com
712,Christopher Davenport,-1.0,7.0,2019-13-25,-5.0,,-5.0,87.0,
713,Kimberly Carney,,8.0,1971/05/29,,85.0,64.0,,
714,,,,2019-13-25,,79.0,,,kennethmoreno@love-reeves.org
715,,-1.0,7.0,,-5.0,,,,
716,Lori Allen,-1.0,6.0,1980-08-15,,-5.0,-5.0,,
717,,11.0,5.0,2019-13-25,73.0,89.0,-5.0,,
718,Joshua Gomez,-1.0,7.0,2014-06-28,83.0,-5.0,-5.0,,
719,,,5.0,1997/09/16,87.0,-5.0,54.0,,
720,Nicholas Tran,,7.0,1994-08-14,,99.0,-5.0,,lhowell@carey-whitney.net
721,Kelly Morton,,,,,86.0,58.0,,
722,,17.0,,2004/08/18,-5.0,85.0,-5.0,95.0,chandlersherry@yahoo.com
723,Steve Freeman,11.0,8.0,,,-5.0,-5.0,,johnsoncarrie@gmail.com
724,,,8.0,2001-01-28,53.0,60.0,,,
